"filename", "language", "Properties", "Groovy", "XML", "JSON", "Batch", "Java", "comment", "blank", "total"
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\home\watchgroups\SeriesGroup\GenericGroup.java", "Java", 0, 0, 0, 0, 0, 16, 0, 4, 20
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\home\watchgroups\SeriesGroup\LoadableGroup.java", "Java", 0, 0, 0, 0, 0, 13, 0, 6, 19
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\home\watchgroups\SeriesGroup\NewEpGroup.java", "Java", 0, 0, 0, 0, 0, 39, 0, 8, 47
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\home\watchgroups\SeriesGroup\ReflectiveGroup.java", "Java", 0, 0, 0, 0, 0, 19, 1, 6, 26
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\home\watchgroups\SeriesGroup\SeriesGroup.java", "Java", 0, 0, 0, 0, 0, 25, 0, 7, 32
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\home\watchgroups\WatchgroupAdapter.java", "Java", 0, 0, 0, 0, 0, 114, 2, 20, 136
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\search\ConnectedSearchThread.java", "Java", 0, 0, 0, 0, 0, 97, 6, 18, 121
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\search\MediaSearch.java", "Java", 0, 0, 0, 0, 0, 212, 4, 28, 244
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\java\com\wco_fun\wco_wrapper\ui\search\SearchAdapter.java", "Java", 0, 0, 0, 0, 0, 161, 5, 29, 195
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable-v24\ic_launcher_foreground.xml", "XML", 0, 0, 30, 0, 0, 0, 0, 0, 30
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\app_icon_background.xml", "XML", 0, 0, 74, 0, 0, 0, 0, 1, 75
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_add.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_arrow_back.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_arrow_right_alt.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_done.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\drawable\ic_home_black_24dp.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 1, 10
